mes_lancamento,plano_orcamentario_nome,fase_da_despesa,nome_do_gasto,acao_governo_codigo,gasto_item,instrumento_inicial,agrupamento,instrumento_final,data,encerramento,detalhamento_do_gasto
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RG,52771,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RK,5480135,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RL,1038547,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20TP,254380704,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20U4,90395,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20UF,416333,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20V6,38435,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20XT,4000704,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YU,302182,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,212B,27925398,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,215I,14953443,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21AR,541682,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21AS,481924,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21B3,2160,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BO,7419342,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2726,1043286,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2792,446664,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2810,45509,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2994,10187500,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2D58,19028,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4002,10079180,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4086,50000000,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4815,505050,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,509,2111657,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,515,228183322,CORONAVIRUS (COVID-19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RK,1365379,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RL,542044,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BO,2148696,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2994,2457416,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4002,35895,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RK,4394009,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20RL,1096386,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BO,3055324,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,2994,4694253,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID-19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,4002,360824,CORONAVIRUS (COVID-19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,212B,538607,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219C,5316015,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,212B,703324,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19),Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219C,5655115,CORONAVIRUS (COVID19),NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19) - REGRA DE OURO,Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219C,180920,CORONAVIRUS (COVID19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,CORONAVIRUS (COVID19) - REGRA DE OURO,Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219C,496537,CORONAVIRUS (COVID19) - REGRA DE OURO,NA,NA,NA,NA,NA
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,6300,MP nº 1001/2020,Suporte ao Trabalho,NA,2020-09-15T00:00:00Z,NA,"ME: ENEM, ENCCEJA e REVALIDA; MC: cisternas"
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.001, DE 15 DE SETEMBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,69202775,MP nº 1001/2020,Suporte ao Trabalho,NA,2020-09-15T00:00:00Z,NA,"ME: ENEM, ENCCEJA e REVALIDA; MC: cisternas"
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",Pagamento,Aquisição de Vacinas e Insumos para Prevenção e Controle,21C0,217900802,MP nº 1004/2020,Medidas Sanitárias,Lei nº 14122/2020,2020-09-24T00:00:00Z,NA,Vacina - Covax
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.004, DE 24 DE SETEMBRO DE 2020 - ACESSO GLOBAL DE VACINAS (COVAX FACILITY)",Previsão,Aquisição de Vacinas e Insumos para Prevenção e Controle,21C0,1682804743,MP nº 1004/2020,Medidas Sanitárias,Lei nº 14122/2020,2020-09-24T00:00:00Z,NA,Vacina - Covax
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,7132902,MP nº 1007/2020,Medidas Sanitárias,NA,2020-10-02T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.007, DE 2 DE OUTUBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,34207903,MP nº 1007/2020,Medidas Sanitárias,NA,2020-10-02T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.008, DE 26 DE OUTUBRO DE 2020",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,182738931,MP nº 1008/2020,Proteção Social,NA,2020-10-26T00:00:00Z,NA,"Alimentação povos indígenas, quilombolas etc"
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.008, DE 26 DE OUTUBRO DE 2020",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,227500492,MP nº 1008/2020,Proteção Social,NA,2020-10-26T00:00:00Z,NA,"Alimentação povos indígenas, quilombolas etc"
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YD,93070958,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YE,136400000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219A,449200000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BG,258624054,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,10891844,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6217,15600001,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8305,31640653,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8327,49054303,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8585,1205910857,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YD,178705000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YE,136400000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YP,24700000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219A,449200000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BF,49400000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21BG,350000000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,165000000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6217,15600000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8305,71000000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8327,138000000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8585,1244400000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.032, DE 24 DE FEVEREIRO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8933,38800000,MP nº 1032/2021,Medidas Sanitárias,NA,2021-02-24T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.037, DE 18 DE MARCO DE 2021",Pagamento,Auxílio Emergencial a Pessoas em Situação de Vulnerabilidade,00SI,8991451125,MP nº 1037/2021,Proteção Social,NA,2021-03-18T00:00:00Z,NA,Auxílio Emergencial 2021
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.037, DE 18 DE MARCO DE 2021",Previsão,Auxílio Emergencial a Pessoas em Situação de Vulnerabilidade,00SI,42575600000,MP nº 1037/2021,Proteção Social,NA,2021-03-18T00:00:00Z,NA,Auxílio Emergencial 2021
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.038, DE 18 DE MARCO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20TP,9728610,MP nº 1038/2021,Proteção Social,NA,2021-03-18T00:00:00Z,NA,Contratação de pessoal para operacionar o Auxílio 2021
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.038, DE 18 DE MARCO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,212B,431416,MP nº 1038/2021,Proteção Social,NA,2021-03-18T00:00:00Z,NA,Contratação de pessoal para operacionar o Auxílio 2021
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.038, DE 18 DE MARCO DE 2021 - OPERACIONALIZACAO DO PAGAMENTO DE AUXILIO EMERGENCIAL 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21CP,384400000,MP nº 1038/2021,Proteção Social,NA,2021-03-18T00:00:00Z,NA,Contratação de pessoal para operacionar o Auxílio 2021
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YE,39892500,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YP,683703,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,219A,452940000,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,21C0,9066803,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,6217,7399849,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8327,1779677,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Pagamento,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,8585,359517362,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
2021-04-01,"COVID-19 - MEDIDA PROVISORIA N. 1.041, DE 30 DE MARCO DE 2021",Previsão,Despesas Adicionais do Ministério da Saúde e Demais Ministérios,20YD,100050000,MP nº 1041/2021,Medidas Sanitárias,NA,2021-03-30T00:00:00Z,NA,Ampliação da capacidade de atendimento
